-1302.2421875;-0.07403876632452
-1865.44189453125;-0.07312086969614
-2209.115234375;-0.072210393846035
-2218.002197265625;-0.071311257779598
-1889.72216796875;-0.070423312485218
-2056.5654296875;-0.069549761712551
-2295.553955078125;-0.068683795630932
-2119.544677734375;-0.067828841507435
-1922.39306640625;-0.066984303295612
-2051.058837890625;-0.066120237112045
-2068.482666015625;-0.065296590328217
-2031.685302734375;-0.064483426511288
-1760.1328125;-0.063679911196232
-1212.9595947265625;-0.062917873263359
-186.8154296875;-0.062134470790625
126.5362319946289;-0.061361059546471
82.60885620117188;-0.060597043484449
10.35362148284912;-0.059819653630257
-348.6978454589844;-0.05907453969121
-510.540283203125;-0.058338940143585
-340.475830078125;-0.057612258940935
-112.88451385498048;-0.056903440505266
634.450927734375;-0.056194737553596
1832.486083984375;-0.055495090782642
2215.439697265625;-0.054803919047117
2331.894775390625;-0.054132554680109
2389.947998046875;-0.053458478301764
2605.010498046875;-0.05279303714633
2439.055908203125;-0.052135646343231
2449.873779296875;-0.051487628370523
2745.97412109375;-0.050846260040998
3216.7890625;-0.050213355571032
3273.18701171875;-0.049588091671467
3406.07080078125;-0.048971805721521
3530.986083984375;-0.048362016677856
3754.3447265625;-0.047760054469109
3943.042724609375;-0.047165352851152
3830.664794921875;-0.046580195426941
3864.455078125;-0.046000212430954
3775.80126953125;-0.045427445322275
3792.781005859375;-0.044861808419228
3733.6884765625;-0.044285338371992
3632.506591796875;-0.043733693659306
3521.8310546875;-0.043189164251089
3606.329345703125;-0.042651161551476
3875.726806640625;-0.042129877954721
3978.206298828125;-0.041605193167925
3914.5361328125;-0.04108727350831
3282.058837890625;-0.040575332939625
2611.38623046875;-0.040079053491354
2664.034912109375;-0.039580002427101
2735.696533203125;-0.039087414741516
3101.98681640625;-0.038600720465183
3557.176025390625;-0.038090273737907
3389.4765625;-0.037615619599819
3165.281982421875;-0.037147104740143
3199.051025390625;-0.036684185266495
3332.12353515625;-0.036226063966751
3050.076904296875;-0.0357745885849
2711.5400390625;-0.035328969359398
2467.638427734375;-0.034888651221991
2149.59521484375;-0.034454770386219
2149.41357421875;-0.034025337547064
2113.77099609375;-0.033601488918066
2073.428466796875;-0.033182676881552
2042.8385009765625;-0.032801255583763
1999.2049560546875;-0.03239256516099
1886.467529296875;-0.031989429146051
